ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-10-04,37312250.66999726,-3066766.2641002666,38943819.76224971,-2902629.617636522,-2028258.588241801,0.0,141.06,1482.124,5508.0,2484.0
2021-10-05,31686432.23999875,-3847085.0867824256,38897335.73971726,-3681728.0594022265,-6898703.119648253,0.0,133.784254,1004.36,4239.0,2605.5
2021-10-06,30556580.579999935,-4634809.837736816,38850851.7171848,-2914406.527246396,-8478589.045901425,0.0,134.225846,1026.9560000000001,4860.0,2858.625
2021-10-07,29597557.259998936,-5415153.178785785,38804367.69465234,-969291.583625706,-8502502.962096442,0.0,129.06,859.992,4158.0,2322.0
2021-10-08,30125578.939999487,-6172356.232522928,38757883.67211989,596966.5000280718,4962829.262929258,0.0,139.92,690.032,5940.0,2473.875
2021-10-09,33021146.969997853,-6890136.727869312,38711399.64958744,695379.8411709099,8325547.518679847,0.0,141.577184,952.0839999999996,4671.0,2328.75
2021-10-10,44023830.96999492,-7552175.543177603,38664915.62705499,-221064.94065091215,12619676.934231332,0.0,136.57999999999998,349.86,5886.0,2689.875
2021-10-11,34009187.949996956,-8142626.165106451,38618431.60452253,-791018.1254753327,-2028258.5882038493,7156531.693184714,138.861104,0.0,3766.5,2176.875
2021-10-12,29756650.679998927,-8646630.452880183,38571947.58199007,-360619.98685102194,-6898703.119656227,0.0,134.70000000000002,0.0,4387.5,1724.625
2021-10-13,28299670.79999943,-9050823.5077931,38525463.55945764,228261.0961490489,-8478589.045874784,0.0,132.59413,0.0,3928.5,1950.75
2021-10-14,28336987.93999873,-9343810.42249987,38478979.53692517,-357758.9519490938,-8502502.962101806,0.0,133.87829599999998,0.0,3415.5,2163.375
2021-10-15,28748180.109999757,-9516598.232876848,38432495.51439272,-2128601.432125676,4962829.262948665,0.0,127.53577800000001,0.0,4671.0,2551.5
2021-10-16,32871996.059997547,-9562967.505751032,38386011.49186027,-3159016.1079969825,8325547.51868327,0.0,129.76,0.0,4576.5,2480.625
2021-10-17,43742471.169991314,-9479769.639930686,38339527.469327815,-1143504.887398793,12619676.934233462,0.0,132.217534,0.0,5143.5,3135.375
2021-10-18,32940066.989996552,-9267138.090244744,38293043.44679537,4129909.093422086,-2028258.5882073792,0.0,133.11960200000001,0.0,4185.0,2082.375
2021-10-19,27946642.76999811,-8928604.280681495,38246559.42426291,9817772.075163832,-6898703.119625788,0.0,124.62,0.0,3013.2,1777.9499999999998
2021-10-20,25842182.069999587,-8471111.877675064,38200075.40173045,11843638.781150822,-8478589.04589117,0.0,124.19999999999999,0.0,3213.0,1825.875
2021-10-21,25408131.72999904,-7904926.258004506,38153591.379198,8212922.1205006195,-8502502.962101575,0.0,125.7,0.0,3677.4,1817.775
2021-10-22,25926217.449999798,-7243439.329663091,38107107.35666554,951009.0051739736,4962829.262949592,0.0,125.16000000000001,0.0,3658.5,1930.5
2021-10-23,29562749.86999891,-6502873.243574403,38060623.334133096,-5201691.337692043,8325547.518687104,0.0,125.76666600000003,0.0,4489.965,1908.0900000000001
2021-10-24,40686437.649991006,-5701889.861023828,38014139.31160065,-6407384.164534108,12619676.93421562,0.0,129.170952,0.0,4320.0,2109.375
2021-10-25,30000097.17999828,-4861116.008722324,37967655.28906818,-2652822.695065397,-2028258.5882284911,0.0,127.26,0.0,3186.0,1609.875
2021-10-26,26760242.48999936,-4002597.4566764417,37921171.266535744,2470392.103293352,-6898703.119655457,0.0,124.22,0.0,2794.5,1262.25
2021-10-27,24280665.510000046,-3149197.0961247985,37874687.24400328,4847352.103947875,-8478589.045907555,0.0,126.41999999999999,0.0,3349.215,1527.93
2021-10-28,24347221.139999554,-2323954.889718828,37828203.221470825,3069840.2283143178,-8502502.962101348,0.0,122.39447999999999,0.0,3199.5,1707.75
2021-10-29,26400312.149999626,-1549428.738959571,37781719.19893838,-874216.8153337053,4962829.262959759,0.0,120.770212,0.0,4032.315,1670.625
2021-10-30,32463993.339997448,-847036.4079431589,37735235.17640592,-3767589.541282966,8325547.518670334,0.0,119.22000000000001,0.0,5709.6900000000005,2436.12
2021-10-31,37990957.90999526,-236419.0148022117,37688751.15387347,-4012116.4890472367,12619676.93421775,0.0,115.54000000000002,0.0,5346.0,2548.125
2021-11-01,29108883.249998312,265153.6667924755,37642267.13134102,-2614748.859930248,-2028258.588214436,0.0,151.315,0.0,243.0,1285.56
2021-11-02,28196277.759998783,643316.7681482646,37595783.10880856,-1706122.031928382,-6898703.119641737,0.0,143.44,0.0,351.0,1208.25
2021-11-03,26940270.01000042,887064.9602636856,37549299.08627611,-2290237.0235807323,-8478589.045902427,0.0,139.02,0.0,216.0,1819.125
2021-11-04,25591413.87999958,989112.5035059614,37502815.06374365,-3436506.7693709373,-8502502.962123778,0.0,145.86,0.0,216.0,1548.99
2021-11-05,26377682.939999815,946145.7131933958,37456331.0412112,-3510793.3064407785,4962829.262960686,0.0,148.25999999999996,0.0,81.0,1771.875
2021-11-06,30613489.449998353,758957.9582758823,37409847.01867876,-2002163.44926775,8325547.518674171,0.0,146.04,0.0,237.06,2778.12
2021-11-07,42850957.26999205,432460.79481492017,37363362.9961463,-39832.17505964633,12619676.934219882,0.0,141.00000000000003,0.0,0.0,2262.285
2021-11-08,32923377.90999781,-24431.41593179809,37316878.97361385,838680.9369034626,-2028258.5882355487,3835783.134714613,142.05110999999994,0.0,0.0,1886.625
2021-11-09,32843081.69999652,-599042.1535914001,37270394.95108139,281844.62309598003,-6898703.119649712,0.0,142.62000000000003,0.0,0.0,1866.1499999999999
2021-11-10,32407718.47999689,-1275293.4630608258,37223910.92854895,-624368.6409173118,-8478589.045898568,0.0,76.8,0.0,0.0,1984.5
2021-11-11,33134706.449995115,-2034177.724017355,37177426.90601648,-679981.1087473675,-8502502.962106481,0.0,74.05638400000001,0.0,0.0,1990.6650000000002
2021-11-12,33767345.35999569,-2854327.7937274184,37130942.88348403,8018.433019924111,4962829.262980095,0.0,75.77999999999999,0.0,0.0,2165.2650000000003
2021-11-13,39207233.79999423,-3712669.536716641,37084458.86095158,131369.23215486575,8325547.518677591,0.0,75.95647000000001,0.0,0.0,2554.2
2021-11-14,50649513.31998362,-4585137.873410824,37037974.83841912,-1178379.7529874798,12619676.934232784,0.0,76.519728,0.0,0.0,2117.16
2021-11-15,38048031.96999552,-5447435.126073685,36991490.81588666,-2901900.4416317767,-2028258.5881975985,0.0,76.14000000000001,0.0,0.0,2102.625
2021-11-16,34101361.71999785,-6275808.698127828,36945006.79335421,-2618573.217024619,-6898703.119657685,0.0,76.56,0.0,0.0,2292.0299999999997
2021-11-17,33157662.52999876,-7047824.054333136,36898522.770821765,1200156.723490836,-8478589.045893442,0.0,74.75999999999999,0.0,0.0,2084.8050000000003
2021-11-18,32238368.789997563,-7743108.62094637,36852038.74828931,7186040.073185643,-8502502.96212332,0.0,73.56,0.0,0.0,2048.625
2021-11-19,33521805.379998878,-8344042.61857671,36805554.72575686,11498431.127477637,4962829.262981022,0.0,70.26,0.0,0.0,2814.3
2021-11-20,36010699.18999726,-8836373.979077095,36759070.703224406,10704538.192436868,8325547.518681427,0.0,5.28,0.0,0.0,2200.5
2021-11-21,42139527.74999416,-9209736.358387796,36712586.68069196,4765808.646483426,12619676.934234915,0.0,76.80000000000001,0.0,0.0,2436.48
2021-11-22,35891426.66999768,-9458051.797653276,36666102.65815949,-2570823.0220723907,-2028258.5882187115,6113730.694201656,75.872542,0.0,0.0,2065.5
2021-11-23,33556869.53999839,-9579802.739794215,36619618.63562705,-6528922.344570603,-6898703.119665661,0.0,71.28000000000002,0.0,0.0,2284.875
2021-11-24,29995979.479998846,-9578161.7931737,36573134.61309459,-4982984.384691037,-8478589.045909828,0.0,70.62,0.0,0.0,1626.75
2021-11-25,8223643.600000307,-9460971.747725915,36526650.590562135,27953.72706472192,-8502502.962106023,0.0,70.2,0.0,0.0,425.25
2021-11-26,18583630.24000077,-9240572.774048612,36480166.56802969,4178143.163930042,4962829.262946778,0.0,70.74000000000001,0.0,0.0,1266.8400000000001
2021-11-27,25651642.31000036,-8933478.346335275,36433682.54549724,4418394.705867662,8325547.518685264,0.0,72.18,0.0,0.0,1993.9499999999998
2021-11-28,42502335.57999292,-8559906.089892095,36387198.52296477,1158987.126787621,12619676.93422706,0.0,72.9755,0.0,0.0,2756.385
2021-11-29,36056861.76999623,-8143174.324662751,36340714.500432335,-2615095.190309361,-2028258.5882046556,0.0,69.60000000000001,0.0,45.629999999999995,470.88
2021-11-30,33124916.13999882,-7708979.419780093,36294230.47789987,-4211505.006113874,-6898703.119651938,0.0,72.0,0.0,261.63,175.23
2021-12-01,31385575.520000823,-7284573.056090219,36247746.455367416,-3383018.104962103,-8478589.045884455,0.0,94.231236,0.0,1120.5,162.0
2021-12-02,30174280.05000009,-6897861.989475189,36201262.43283497,-1989690.928042956,-8502502.962088726,0.0,91.52000000000001,0.0,1984.5,146.88
2021-12-03,30998485.080001324,-6576455.804096626,36154778.41030251,-1830702.6392721843,4962829.262956945,0.0,92.7,0.0,3996.0,121.5
2021-12-04,35965344.87000008,-6346690.344754952,36108294.387770064,-2902629.617635525,8325547.518689099,0.0,88.25999999999999,0.0,6021.0,162.0
2021-12-05,51746255.99998878,-6232655.943588138,36061810.3652376,-3681728.059407207,12619676.934219202,0.0,96.30000000000001,0.0,5381.505,0.0
2021-12-06,36602791.08999817,-6255260.151292357,36015326.34270516,-2914406.52725425,-2028258.5882257689,0.0,94.18,0.0,3469.5,0.0
2021-12-07,32935284.68999828,-6431354.415063048,35968842.3201727,-969291.5836170894,-6898703.119664891,0.0,87.30260799999999,0.0,4936.8150000000005,0.0
2021-12-08,30700104.229999665,-6772953.005253512,35922358.29764024,596966.5000297361,-8478589.045900838,0.0,94.55999999999999,0.0,4900.5,0.0
2021-12-09,29923052.870000176,-7286570.49840814,35875874.27510779,695379.8411641922,-8502502.9620885,0.0,88.0787,0.0,5845.5,0.0
2021-12-10,29913994.40000097,-7972701.318383877,35829390.252575345,-221064.9406504141,4962829.262967114,0.0,93.17999999999999,0.0,6291.0,0.0
2021-12-11,33963560.929999545,-8825461.285625705,35782906.23004288,-791018.1254714967,8325547.518671914,0.0,95.793152,0.0,6925.5,0.0
2021-12-12,47530819.15999178,-9832406.918136526,35736422.20751044,-360619.9868481435,12619676.934242094,0.0,92.677222,0.0,8397.0,0.0
2021-12-13,35547631.879998125,-10974543.475074409,35689938.18497798,228261.09614703865,-2028258.588246881,0.0,92.88,0.0,5643.0,0.0
2021-12-14,28532848.440000452,-12226527.563313644,35643454.16244552,-357758.9519491169,-6898703.1196511695,0.0,94.34893000000001,0.0,3996.0,0.0
2021-12-15,28238761.330000464,-13557064.679840025,35596970.139913075,-2128601.432113615,-8478589.045895712,0.0,94.92000000000003,0.0,4482.0,0.0
2021-12-16,26700732.089999612,-14929496.490094643,35550486.11738062,-3159016.107994561,-8502502.962088268,0.0,92.88214199999999,0.0,4441.5,0.0
2021-12-17,28411061.229999788,-16302567.10192299,35504002.09484817,-1143504.8873943896,4962829.262968038,0.0,157.02,0.0,5305.5,0.0
2021-12-18,30724219.009999007,-17631352.245055195,35457518.072315715,4129909.0934274234,8325547.518676165,0.0,157.038834,0.0,4441.5,0.0
2021-12-19,36882772.919997424,-18868330.26328858,35411034.04978327,9817772.075170876,12619676.934244225,0.0,159.85569200000003,0.0,4356.3150000000005,0.0
2021-12-20,31480130.539998908,-19964569.31808108,35364550.027250804,11843638.78115274,-2028258.588232826,5545812.211029742,157.469338,0.0,4537.215,0.0
2021-12-21,29259223.719999913,-20871001.32483826,35318066.00471836,8212922.120506479,-6898703.119659144,0.0,156.31142800000003,0.0,4765.5,0.0
2021-12-22,29381119.469999686,-21539750.016316477,35271581.9821859,951009.0051753976,-8478589.045890585,0.0,359.57833800000003,0.0,3928.5,0.0
2021-12-23,30698543.10999929,-21925478.251641404,35225097.95965345,-5201691.337695546,-8502502.962110698,0.0,1149.9767800000002,0.0,3874.5,0.0
2021-12-24,19809572.22000063,-21986718.342638846,35178613.937121,-6407384.16454115,4962829.262987449,0.0,803.7621859999999,0.0,2133.0,0.0
2021-12-25,242558.83000001192,-21687148.802932467,35132129.91458855,-2652822.695067034,8325547.518679585,0.0,382.061152,0.0,27.0,0.0
2021-12-26,23512103.580001026,-20996781.56609121,35085645.892056085,2470392.103302236,12619676.93423637,0.0,1676.576044,0.0,2430.0,0.0
2021-12-27,27043198.019999932,-19893025.36361252,35039161.86952363,4847352.103939013,-2028258.5882539384,7969180.630294359,2069.262396,0.0,2943.0,0.0
2021-12-28,26939547.999999676,-18361593.571242817,34992677.84699118,3069840.228307565,-6898703.119628703,0.0,1082.5064159999997,0.0,2903.715,0.0
2021-12-29,27506431.87000057,-16397228.364700535,34946193.824458726,-874216.8153395309,-8478589.045885457,0.0,0.0,0.0,3917.7,0.0
2021-12-30,30590810.859999713,-14004217.38792784,34899709.80192628,-3767589.541286213,-8502502.962093402,0.0,0.0,0.0,5216.4,0.0
2021-12-31,33016881.389999673,-11196684.22053906,34853225.77939383,-4012116.489059513,4962829.262988374,0.0,0.0,0.0,5017.8150000000005,0.0
2022-01-01,21210809.080000795,-7998639.604498602,34806741.756861374,-2614748.859938049,8325547.518683421,0.0,327.70750599999997,0.0,2986.2,0.0
2022-01-02,39605019.409996554,-4443786.506400783,34760257.73432891,-1706122.031928881,12619676.934228512,0.0,338.833934,0.0,4914.0,0.0
2022-01-03,34575824.51999895,-575078.4875626634,34713773.71179647,-2290237.023579596,-2028258.5882159877,0.0,319.91686599999997,0.0,297.0,0.0
2022-01-04,33106080.129999306,3555962.641042302,34667289.68926401,-3436506.769371727,-6898703.119658374,0.0,316.89871400000004,0.0,292.815,0.0
2022-01-05,34965514.70999989,7890157.465784723,34620805.66673156,-3510793.3064408666,-8478589.04590184,0.0,311.741034,0.0,391.5,0.0
2022-01-06,28593574.739999473,12361789.313593527,34574321.6441991,-2002163.4492638973,-8502502.96211024,0.0,312.03351399999997,0.0,164.43,0.0
2022-01-07,30019603.300000172,16899909.90962849,34527837.621666655,-39832.17505382794,4962829.262989301,0.0,771.788596,0.0,218.43,0.0
2022-01-08,39326667.26999885,21429800.767966256,34481353.59913419,838680.9369042809,8325547.518666651,0.0,870.6283199999999,0.0,297.0,0.0
2022-01-09,48721110.429991774,25874556.25907558,34434869.57660175,281844.6231064725,12619676.934220657,0.0,891.2532320000001,0.0,0.0,0.0
2022-01-10,37071115.76999805,30156750.67498233,34388385.55406929,-624368.6409116086,-2028258.5882195164,0.0,820.124444,0.0,0.0,0.0
2022-01-11,32080644.72999886,34200148.94944652,34341901.53153683,-679981.1087492456,-6898703.119644654,0.0,841.4225980000001,0.0,0.0,0.0
2022-01-12,32149750.759999227,37931419.0655532,34295417.509004384,8018.433017480995,-8478589.045896715,0.0,849.5846720000001,0.0,0.0,0.0
2022-01-13,33344483.72999721,41281803.65062252,34248933.486471936,131369.23215550935,-8502502.962092943,0.0,884.0996920000001,0.0,0.0,0.0
2022-01-14,36993969.79999543,44188708.84116786,34202449.46393948,-1178379.7529890605,4962829.2629550565,0.0,888.703458,0.0,0.0,0.0
2022-01-15,39739459.34999395,46597170.19153284,34155965.44140703,-2901900.4416386327,8325547.518670486,0.0,877.974412,0.0,0.0,0.0
2022-01-16,33573537.569997944,48461158.16213048,34109481.41887458,-2618573.217019591,12619676.934222786,0.0,913.85297,0.0,0.0,0.0
2022-01-17,31137323.32999872,49744689.48950866,34062997.39634211,1200156.7234928105,-2028258.5882230452,-38150111.89498431,928.1704500000002,0.0,0.0,0.0
2022-01-18,30585982.42999924,50422715.41674584,34016513.373809665,7186040.073176624,-6898703.119630932,0.0,925.2724079999999,0.0,0.0,0.0
2022-01-19,30483881.649996243,50481763.22887713,33970029.35127721,11498431.12747596,-8478589.045892857,0.0,909.9465240000001,0.0,0.0,0.0
2022-01-20,27768685.099997513,49920313.65265759,33923545.32874476,10704538.192440996,-8502502.962092714,0.0,924.6952239999998,0.0,0.0,0.0
2022-01-21,29326739.239998415,48748903.28249577,33877061.3062123,4765808.646490249,4962829.262965225,0.0,885.7418300000002,0.0,0.0,0.0
2022-01-22,35889812.679995805,46989948.111227,33830577.28367986,-2570823.022072154,8325547.518673909,0.0,889.9207579999999,0.0,0.0,0.0
2022-01-23,45042281.96998898,44677291.29176906,33784093.261147395,-6528922.344568768,12619676.934204942,0.0,911.9381120000002,0.0,0.0,0.0
2022-01-24,33628178.379996195,41855485.24697622,33737609.23861495,-4982984.384686206,-2028258.5882026788,0.0,904.0759360000001,0.0,0.0,0.0
2022-01-25,30323862.49999857,38578824.99280688,33691125.21608249,27953.727063618942,-6898703.119660601,0.0,894.7987459999999,0.0,0.0,0.0
2022-01-26,30146745.709998667,34910155.8647104,33644641.19355004,4178143.1639302447,-8478589.04588773,0.0,892.049384,0.0,0.0,0.0
2022-01-27,30537748.389997236,30919484.56934104,33598157.17101759,4418394.705879016,-8502502.962092483,0.0,907.6619979999998,0.0,0.0,0.0
2022-01-28,31589919.669996105,26682427.46933491,33551673.14848514,1158987.1267875682,4962829.262975391,0.0,890.3052840000001,0.0,0.0,0.0
2022-01-29,35783958.029995486,22278534.11543411,33505189.125952687,-2615095.190308956,8325547.518677331,0.0,927.077012,0.0,0.0,0.0
2022-01-30,45618599.009986125,17789527.156841353,33458705.103420224,-4211505.006112053,12619676.93423782,0.0,911.860616,0.0,0.0,0.0
2022-01-31,37344918.80999317,13297501.8045455,33412221.08088777,-3383018.104970238,-2028258.588206208,0.0,879.661672,0.0,0.0,0.0
2022-02-01,39541396.849990815,8883128.940049672,33365737.05835532,-1989690.9280444512,-6898703.11964688,0.0,861.7130639999999,0.0,0.0,0.0
